Motif	Factor	Evidence	Curated
GM.5.0.ARID_BRIGHT.0001	arid3b	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	si_dkey-205h23.1	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	arid3b	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou5f3	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou5f3	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f1	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f3a	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f3b	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f2a	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f2b	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f1	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f3a	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f3b	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f2a	Orthologs	N
GM.5.0.Homeodomain_POU.0001	pou3f2b	Orthologs	N
GM.5.0.Homeodomain_POU.0001	nanog	Orthologs	N
GM.5.0.Homeodomain_POU.0001	nanog	Orthologs	N
GM.5.0.C2H2_ZF.0004	zic1	Orthologs	N
GM.5.0.C2H2_ZF.0004	zic1	Orthologs	N
GM.5.0.C2H2_ZF.0004	zic5	Orthologs	N
GM.5.0.C2H2_ZF.0004	zic5	Orthologs	N
GM.5.0.C2H2_ZF.0004	zic4	Orthologs	N
GM.5.0.C2H2_ZF.0004	zic6	Orthologs	N
GM.5.0.C2H2_ZF.0004	LOC110438163	Orthologs	N
GM.5.0.C2H2_ZF.0004	zic4	Orthologs	N
GM.5.0.C2H2_ZF.0004	zic6	Orthologs	N
GM.5.0.C2H2_ZF.0004	LOC110438163	Orthologs	N
GM.5.0.Homeodomain.0004	irx3b	Orthologs	N
GM.5.0.Homeodomain.0004	irx3a	Orthologs	N
GM.5.0.Homeodomain.0004	irx3b	Orthologs	N
GM.5.0.Homeodomain.0004	irx3a	Orthologs	N
GM.5.0.Homeodomain.0004	irx4b	Orthologs	N
GM.5.0.Homeodomain.0004	irx4a	Orthologs	N
GM.5.0.Homeodomain.0004	irx4b	Orthologs	N
GM.5.0.Homeodomain.0004	irx4a	Orthologs	N
GM.5.0.Homeodomain.0004	irx6a	Orthologs	N
GM.5.0.Homeodomain.0004	irx6a	Orthologs	N
GM.5.0.Homeodomain.0004	irx1b	Orthologs	N
GM.5.0.Homeodomain.0004	irx7	Orthologs	N
GM.5.0.Homeodomain.0004	irx1a	Orthologs	N
GM.5.0.Homeodomain.0004	irx1b	Orthologs	N
GM.5.0.Homeodomain.0004	irx7	Orthologs	N
GM.5.0.Homeodomain.0004	irx1a	Orthologs	N
GM.5.0.Nuclear_receptor.0004	nr2c2	Orthologs	N
GM.5.0.Nuclear_receptor.0004	nr2c1	Orthologs	N
GM.5.0.Nuclear_receptor.0004	nr2c2	Orthologs	N
